combo_id,module,task,model,device,dataset,fe_preset,outcome,exit_code,wall_seconds,artifact_training_base,artifact_training_quantization,error_signature
generic_timeseries_forecasting__FCST_3k,timeseries,generic_timeseries_forecasting,FCST_3k,F280013,generic_timeseries_forecasting,(none found),FE-MISMATCH,1,7.5,False,False,Exception: Not enough dimensions present. Extract more features
generic_timeseries_forecasting__FCST_4k_NPU,timeseries,generic_timeseries_forecasting,FCST_4k_NPU,F280013,generic_timeseries_forecasting,(none found),FE-MISMATCH,1,7.4,False,False,Exception: Not enough dimensions present. Extract more features
generic_timeseries_forecasting__FCST_500_NPU,timeseries,generic_timeseries_forecasting,FCST_500_NPU,F280013,generic_timeseries_forecasting,(none found),FE-MISMATCH,1,7.5,False,False,Exception: Not enough dimensions present. Extract more features
generic_timeseries_forecasting__FCST_6k_NPU,timeseries,generic_timeseries_forecasting,FCST_6k_NPU,F280013,generic_timeseries_forecasting,(none found),FE-MISMATCH,1,7.4,False,False,Exception: Not enough dimensions present. Extract more features
generic_timeseries_forecasting__FCST_8k_NPU,timeseries,generic_timeseries_forecasting,FCST_8k_NPU,F280013,generic_timeseries_forecasting,(none found),FE-MISMATCH,1,7.5,False,False,Exception: Not enough dimensions present. Extract more features
generic_timeseries_forecasting__FCST_LSTM10,timeseries,generic_timeseries_forecasting,FCST_LSTM10,F280013,generic_timeseries_forecasting,(none found),FE-MISMATCH,1,7.5,False,False,Exception: Not enough dimensions present. Extract more features
generic_timeseries_forecasting__FCST_LSTM8,timeseries,generic_timeseries_forecasting,FCST_LSTM8,F280013,generic_timeseries_forecasting,(none found),FE-MISMATCH,1,7.4,False,False,Exception: Not enough dimensions present. Extract more features
generic_timeseries_regression__REGR_10k,timeseries,generic_timeseries_regression,REGR_10k,F280013,generic_timeseries_regression,Generic_8Input_ABS_8Feature_1Frame,ARTIFACT-MISSING,0,7.5,False,False,File: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-fb-7vnq3gdt/proj/run/dataset/files/file_4.csv. Error message: index 2 is out of bounds for axis 0 with size 2
generic_timeseries_regression__REGR_13k,timeseries,generic_timeseries_regression,REGR_13k,F280013,generic_timeseries_regression,Generic_8Input_ABS_8Feature_1Frame,ARTIFACT-MISSING,0,7.6,False,False,File: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-fb-prtaoz71/proj/run/dataset/files/file_4.csv. Error message: index 2 is out of bounds for axis 0 with size 2
generic_timeseries_regression__REGR_1k,timeseries,generic_timeseries_regression,REGR_1k,F280013,generic_timeseries_regression,Generic_8Input_ABS_8Feature_1Frame,ARTIFACT-MISSING,0,7.5,False,False,File: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-fb-7eu3dw15/proj/run/dataset/files/file_4.csv. Error message: index 2 is out of bounds for axis 0 with size 2
generic_timeseries_regression__REGR_20k_NPU,timeseries,generic_timeseries_regression,REGR_20k_NPU,F280013,generic_timeseries_regression,Generic_8Input_ABS_8Feature_1Frame,ARTIFACT-MISSING,0,7.6,False,False,File: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-fb-r9pz2szt/proj/run/dataset/files/file_4.csv. Error message: index 2 is out of bounds for axis 0 with size 2
generic_timeseries_regression__REGR_2k,timeseries,generic_timeseries_regression,REGR_2k,F280013,generic_timeseries_regression,Generic_8Input_ABS_8Feature_1Frame,ARTIFACT-MISSING,0,7.6,False,False,File: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-fb-z_dquryo/proj/run/dataset/files/file_4.csv. Error message: index 2 is out of bounds for axis 0 with size 2
generic_timeseries_regression__REGR_2k_NPU,timeseries,generic_timeseries_regression,REGR_2k_NPU,F280013,generic_timeseries_regression,Generic_8Input_ABS_8Feature_1Frame,ARTIFACT-MISSING,0,7.8,False,False,File: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-fb-o7i_zqrj/proj/run/dataset/files/file_4.csv. Error message: index 2 is out of bounds for axis 0 with size 2
generic_timeseries_regression__REGR_3k,timeseries,generic_timeseries_regression,REGR_3k,F280013,generic_timeseries_regression,Generic_8Input_ABS_8Feature_1Frame,ARTIFACT-MISSING,0,7.5,False,False,File: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-fb-q3uuy5qe/proj/run/dataset/files/file_4.csv. Error message: index 2 is out of bounds for axis 0 with size 2
